timestamp,link_id,interconnect_type,latency,ber,utilization,temperature,crc_errors,bandwidth_gbps,signal_integrity,health_indicator
1703025600.0,GPU_0-SW_0,NVLink,1.2,1.5e-11,0.25,45.2,2.1,100.0,0.95,1.0
1703025600.0,GPU_1-SW_0,NVLink,0.9,8.2e-12,0.30,47.8,1.8,120.0,0.98,0.95
1703025600.0,GPU_2-SW_1,NVLink,0.7,5.1e-12,0.45,52.1,3.2,270.0,0.92,0.88
1703025600.0,GPU_3-SW_1,UALink,1.8,4.2e-11,0.55,58.3,8.5,110.0,0.78,0.75
1703025600.0,SW_0-SW_1,UALink,1.4,2.1e-11,0.35,51.2,4.2,140.0,0.88,0.92
1703025603.0,GPU_0-SW_0,NVLink,1.1,1.2e-11,0.28,45.5,2.3,112.0,0.96,1.0
1703025603.0,GPU_1-SW_0,NVLink,1.0,9.1e-12,0.32,48.2,2.0,128.0,0.97,0.94
1703025603.0,GPU_2-SW_1,NVLink,0.8,6.2e-12,0.47,52.8,3.5,282.0,0.91,0.87
1703025603.0,GPU_3-SW_1,UALink,2.1,5.8e-11,0.58,59.1,9.8,116.0,0.75,0.72
1703025603.0,SW_0-SW_1,UALink,1.5,2.8e-11,0.37,51.8,4.8,148.0,0.86,0.90
1703025606.0,GPU_0-SW_0,NVLink,1.3,1.8e-11,0.31,46.1,2.7,124.0,0.94,0.98
1703025606.0,GPU_1-SW_0,NVLink,1.2,1.1e-11,0.35,49.0,2.5,140.0,0.95,0.92
1703025606.0,GPU_2-SW_1,NVLink,0.9,7.5e-12,0.50,53.5,4.1,300.0,0.89,0.85
1703025606.0,GPU_3-SW_1,UALink,2.5,7.2e-11,0.62,60.2,12.1,124.0,0.72,0.68
1703025606.0,SW_0-SW_1,UALink,1.7,3.5e-11,0.40,52.5,5.5,160.0,0.83,0.88
1703025609.0,GPU_0-SW_0,NVLink,1.0,1.0e-11,0.26,45.8,2.0,104.0,0.97,1.0
1703025609.0,GPU_1-SW_0,NVLink,0.8,7.8e-12,0.29,48.5,1.7,116.0,0.98,0.96
1703025609.0,GPU_2-SW_1,NVLink,0.6,4.9e-12,0.43,52.0,2.9,258.0,0.93,0.90
1703025609.0,GPU_3-SW_1,UALink,1.9,4.8e-11,0.52,58.7,7.8,104.0,0.80,0.78
1703025609.0,SW_0-SW_1,UALink,1.3,2.2e-11,0.33,51.0,3.9,132.0,0.89,0.93
1703025612.0,GPU_0-SW_0,NVLink,1.4,2.1e-11,0.33,46.5,3.1,132.0,0.93,0.97
1703025612.0,GPU_1-SW_0,NVLink,1.1,1.0e-11,0.36,49.8,2.8,144.0,0.94,0.91
1703025612.0,GPU_2-SW_1,NVLink,1.0,8.8e-12,0.53,54.2,4.8,318.0,0.87,0.83
1703025612.0,GPU_3-SW_1,UALink,2.8,8.9e-11,0.67,61.5,15.2,134.0,0.68,0.65
1703025612.0,SW_0-SW_1,UALink,1.8,4.2e-11,0.43,53.2,6.2,172.0,0.80,0.85